id,name,asCharacter,seriesId
nm3592338,Emilia Clarke,Daenerys Targaryen,tt0944947
nm0227759,Peter Dinklage,Tyrion Lannister,tt0944947
nm3229685,Kit Harington,Jon Snow,tt0944947
nm0372176,Lena Headey,Cersei Lannister,tt0944947
nm3849842,Sophie Turner,Sansa Stark,tt0944947
nm3586035,Maisie Williams,Arya Stark,tt0944947
nm0182666,Nikolaj Coster-Waldau,Jaime Lannister,tt0944947
nm0322513,Iain Glen,Jorah Mormont,tt0944947
nm4263213,John Bradley,Samwell Tarly,tt0944947
nm0654295,Alfie Allen,Theon Greyjoy,tt0944947
nm0384152,Conleth Hill,Lord Varys,tt0944947
nm0192377,Liam Cunningham,Davos Seaworth,tt0944947
nm3729225,Gwendoline Christie,Brienne of Tarth,tt0944947
nm0318821,Aidan Gillen,Petyr 'Littlefinger' Baelish,tt0944947
nm3652842,Isaac Hempstead Wright,Bran Stark,tt0944947
nm0564920,Rory McCann,Sandor 'The Hound' Clegane,tt0944947
nm2812026,Nathalie Emmanuel,Missandei,tt0944947
nm0283492,Jerome Flynn,Bronn,tt0944947
nm5611121,Millie Bobby Brown,Eleven,tt4574334
nm6016511,Finn Wolfhard,Mike Wheeler,tt4574334
nm0000213,Winona Ryder,Joyce Byers,tt4574334
nm1092086,David Harbour,Jim Hopper,tt4574334
nm5160895,Caleb McLaughlin,Lucas Sinclair,tt4574334
nm7140802,Gaten Matarazzo,Dustin Henderson,tt4574334
nm3034501,Natalia Dyer,Nancy Wheeler,tt4574334
nm6390427,Charlie Heaton,Jonathan Byers,tt4574334
nm6564737,Joe Keery,Steve Harrington,tt4574334
nm6907855,Noah Schnapp,Will Byers,tt4574334
nm0120648,Cara Buono,Karen Wheeler,tt4574334
nm5584750,Sadie Sink,Max Mayfield,tt4574334
nm7394207,Priah Ferguson,Erica Sinclair,tt4574334
nm0000546,Matthew Modine,Martin Brenner,tt4574334
nm0159609,Joe Chrest,Ted Wheeler,tt4574334
nm0001663,Paul Reiser,Dr. Sam Owens,tt4574334
nm4223882,Dacre Montgomery,Billy Hargrove,tt4574334
nm1638321,Maya Hawke,Robin Buckley,tt4574334
nm2976580,Jessie Buckley,Lyudmilla Ignatenko,tt7366338
nm0364813,Jared Harris,Valery Legasov,tt7366338
nm0001745,Stellan Skarsgård,Boris Shcherbina,tt7366338
nm1835523,Adam Nagaitis,Vasily Ignatenko,tt7366338
nm0001833,Emily Watson,Ulana Khomyuk,tt7366338
nm0728795,Paul Ritter,Anatoly Dyatlov,tt7366338
nm3016166,Robert Emms,Leonid Toptunov,tt7366338
nm0873744,Sam Troughton,Alexandr Akimov,tt7366338
nm0203801,Karl Davies,Viktor Proskuryakov,tt7366338
nm2523072,Michael Socha,Mikhail,tt7366338
nm3130076,Laura Elphinstone,Oksana,tt7366338
nm10676111,Jan Ricica,Oksana's Kid,tt7366338
nm0712628,Adrian Rawlins,Nikolai Fomin,tt7366338
nm0929977,Alan Williams,KGB Chairman Charkov,tt7366338
nm0642126,Con O'Neill,Viktor Bryukhanov,tt7366338
nm7077073,Douggie McMeekin,Yuvchenko,tt7366338
nm10676110,Nadia Clifford,Dr. Svetlana Zinchenko,tt7366338
nm1399770,David Dencik,Mikhail Gorbachev,tt7366338
nm0050959,Pedro Pascal,The Mandalorian,tt8111088
nm0001835,Carl Weathers,Greef Karga,tt8111088
nm0002064,Giancarlo Esposito,Moff Gideon,tt8111088
nm1708161,Barry Lowin,The Mandalorian,tt8111088
nm2442289,Gina Carano,Cara Dune,tt8111088
nm2322864,Chris Bartlett,Droid Bounty Hunter,tt8111088
nm7306447,Leilani Shiu,Jawa,tt8111088
nm0741103,Misty Rosas,Kuiil Performance Artist,tt8111088
nm1859475,Omid Abtahi,Dr. Pershing,tt8111088
nm0607325,Temuera Morrison,Boba Fett,tt8111088
nm0001840,Ming-Na Wen,Fennec Shand,tt8111088
nm6884042,Katy M. O'Brian,Comms Officer,tt8111088
nm0352513,Rio Hackford,IG-11 Performance Artist,tt8111088
nm0781238,Amy Sedaris,Peli Motto,tt8111088
nm2646861,Emily Swallow,Armorer,tt8111088
nm0000560,Nick Nolte,Kuiil,tt8111088
nm0001348,Werner Herzog,The Client,tt8111088
nm0169806,Taika Waititi,IG-11,tt8111088
nm1785339,Rami Malek,Elliot Alderson,tt4158110
nm0000225,Christian Slater,Mr. Robot,tt4158110
nm3361199,Carly Chaikin,Darlene,tt4158110
nm0909412,Martin Wallström,Tyrell Wellick,tt4158110
nm0234668,Portia Doubleday,Angela Moss,tt4158110
nm0188165,Michael Cristofer,Phillip Price,tt4158110
nm3501146,Grace Gummer,Dominique DiPierro,tt4158110
nm0000703,BD Wong,Whiterose,tt4158110
nm4066934,Stephanie Corneliussen,Joanna Wellick,tt4158110
nm3114205,Vaishnavi Sharma,Elliot's Mother,tt4158110
nm0005349,Gloria Reuben,Krista Gordon,tt4158110
nm4576371,Sunita Mani,Trenton,tt4158110
nm4570964,Azhar Khan,Mobley,tt4158110
nm5352388,Joey Bada$$,Leon,tt4158110
nm1272540,Omar Metwally,Agent Santiago,tt4158110
nm1826988,Michael Drayer,Cisco,tt4158110
nm0318703,Michel Gill,Gideon Goddard,tt4158110
nm3124435,Jeremy Holm,Mr. Sutherland,tt4158110
