id,seasonNumber,episodeNumber,title,year,released,imDbRating,imDbRatingCount,seriesId
tt1480055,1,1,Winter Is Coming,2011,17 Apr. 2011,9.0,47283,tt0944947
tt1668746,1,2,The Kingsroad,2011,24 Apr. 2011,8.6,35854,tt0944947
tt1829962,1,3,Lord Snow,2011,1 May 2011,8.5,33963,tt0944947
tt1829963,1,4,"Cripples, Bastards, and Broken Things",2011,8 May 2011,8.6,32299,tt0944947
tt1829964,1,5,The Wolf and the Lion,2011,15 May 2011,9.0,33581,tt0944947
tt1837862,1,6,A Golden Crown,2011,22 May 2011,9.1,33220,tt0944947
tt1837863,1,7,You Win or You Die,2011,29 May 2011,9.1,33741,tt0944947
tt1837864,1,8,The Pointy End,2011,5 Jun. 2011,8.9,31554,tt0944947
tt1851398,1,9,Baelor,2011,12 Jun. 2011,9.6,44080,tt0944947
tt1851397,1,10,Fire and Blood,2011,19 Jun. 2011,9.4,38807,tt0944947
tt1971833,2,1,The North Remembers,2012,1 Apr. 2012,8.7,30297,tt0944947
tt2069318,2,2,The Night Lands,2012,8 Apr. 2012,8.4,28704,tt0944947
tt2070135,2,3,What Is Dead May Never Die,2012,15 Apr. 2012,8.7,28375,tt0944947
tt2069319,2,4,Garden of Bones,2012,22 Apr. 2012,8.6,27527,tt0944947
tt2074658,2,5,The Ghost of Harrenhal,2012,29 Apr. 2012,8.6,27684,tt0944947
tt2085238,2,6,The Old Gods and the New,2012,6 May 2012,8.9,28863,tt0944947
tt2085239,2,7,A Man Without Honor,2012,13 May 2012,8.8,28118,tt0944947
tt2085240,2,8,The Prince of Winterfell,2012,20 May 2012,8.6,27798,tt0944947
tt2084342,2,9,Blackwater,2012,27 May 2012,9.6,47752,tt0944947
tt2112510,2,10,Valar Morghulis,2012,3 Jun. 2012,9.3,33982,tt0944947
tt2178782,3,1,Valar Dohaeris,2013,31 Mar. 2013,8.6,29895,tt0944947
tt2178772,3,2,"Dark Wings, Dark Words",2013,7 Apr. 2013,8.5,27417,tt0944947
tt2178802,3,3,Walk of Punishment,2013,14 Apr. 2013,8.7,27701,tt0944947
tt2178798,3,4,And Now His Watch Is Ended,2013,21 Apr. 2013,9.5,37332,tt0944947
tt2178788,3,5,Kissed by Fire,2013,28 Apr. 2013,8.9,28426,tt0944947
tt2178812,3,6,The Climb,2013,5 May 2013,8.7,28070,tt0944947
tt2178814,3,7,The Bear and the Maiden Fair,2013,12 May 2013,8.6,27234,tt0944947
tt2178806,3,8,Second Sons,2013,19 May 2013,8.9,27912,tt0944947
tt2178784,3,9,The Rains of Castamere,2013,2 Jun. 2013,9.9,103707,tt0944947
tt2178796,3,10,Mhysa,2013,9 Jun. 2013,9.1,31303,tt0944947
tt2816136,4,1,Two Swords,2014,6 Apr. 2014,9.0,34595,tt0944947
tt2832378,4,2,The Lion and the Rose,2014,13 Apr. 2014,9.7,53692,tt0944947
tt2972426,4,3,Breaker of Chains,2014,20 Apr. 2014,8.7,29729,tt0944947
tt2972428,4,4,Oathkeeper,2014,27 Apr. 2014,8.7,28631,tt0944947
tt3060856,4,5,First of His Name,2014,4 May 2014,8.6,27856,tt0944947
tt3060910,4,6,The Laws of Gods and Men,2014,11 May 2014,9.7,51096,tt0944947
tt3060876,4,7,Mockingbird,2014,18 May 2014,9.0,30737,tt0944947
tt3060782,4,8,The Mountain and the Viper,2014,1 Jun. 2014,9.7,53673,tt0944947
tt3060858,4,9,The Watchers on the Wall,2014,8 Jun. 2014,9.6,46268,tt0944947
tt3060860,4,10,The Children,2014,15 Jun. 2014,9.6,45623,tt0944947
tt3658012,5,1,The Wars to Come,2015,12 Apr. 2015,8.4,30172,tt0944947
tt3846626,5,2,The House of Black and White,2015,19 Apr. 2015,8.4,27063,tt0944947
tt3866836,5,3,High Sparrow,2015,26 Apr. 2015,8.4,26265,tt0944947
tt3866838,5,4,Sons of the Harpy,2015,3 May 2015,8.6,26930,tt0944947
tt3866840,5,5,Kill the Boy,2015,10 May 2015,8.5,27158,tt0944947
tt3866842,5,6,"Unbowed, Unbent, Unbroken",2015,17 May 2015,7.9,30381,tt0944947
tt3866846,5,7,The Gift,2015,24 May 2015,8.9,29431,tt0944947
tt3866850,5,8,Hardhome,2015,31 May 2015,9.8,99418,tt0944947
tt3866826,5,9,The Dance of Dragons,2015,7 Jun. 2015,9.4,43374,tt0944947
tt3866862,5,10,Mother's Mercy,2015,14 Jun. 2015,9.1,42121,tt0944947
tt3658014,6,1,The Red Woman,2016,24 Apr. 2016,8.4,39931,tt0944947
tt4077554,6,2,Home,2016,1 May 2016,9.3,46714,tt0944947
tt4131606,6,3,Oathbreaker,2016,8 May 2016,8.6,34110,tt0944947
tt4283016,6,4,Book of the Stranger,2016,15 May 2016,9.0,36623,tt0944947
tt4283028,6,5,The Door,2016,22 May 2016,9.7,70837,tt0944947
tt4283054,6,6,Blood of My Blood,2016,29 May 2016,8.3,33806,tt0944947
tt4283060,6,7,The Broken Man,2016,5 Jun. 2016,8.5,32962,tt0944947
tt4283074,6,8,No One,2016,12 Jun. 2016,8.3,37118,tt0944947
tt4283088,6,9,Battle of the Bastards,2016,19 Jun. 2016,9.9,206657,tt0944947
tt4283094,6,10,The Winds of Winter,2016,26 Jun. 2016,9.9,145932,tt0944947
tt5654088,7,1,Dragonstone,2017,16 Jul. 2017,8.5,50726,tt0944947
tt5655178,7,2,Stormborn,2017,23 Jul. 2017,8.8,44225,tt0944947
tt5775840,7,3,The Queen's Justice,2017,30 Jul. 2017,9.1,46314,tt0944947
tt5775846,7,4,The Spoils of War,2017,6 Aug. 2017,9.7,87562,tt0944947
tt5775854,7,5,Eastwatch,2017,13 Aug. 2017,8.7,43963,tt0944947
tt5775864,7,6,Beyond the Wall,2017,20 Aug. 2017,9.0,63825,tt0944947
tt5775874,7,7,The Dragon and the Wolf,2017,27 Aug. 2017,9.4,63676,tt0944947
tt5924366,8,1,Winterfell,2019,14 Apr. 2019,7.6,131340,tt0944947
tt6027908,8,2,A Knight of the Seven Kingdoms,2019,21 Apr. 2019,7.9,129757,tt0944947
tt6027912,8,3,The Long Night,2019,28 Apr. 2019,7.5,214425,tt0944947
tt6027914,8,4,The Last of the Starks,2019,5 May 2019,5.5,163889,tt0944947
tt6027916,8,5,The Bells,2019,12 May 2019,6.0,191030,tt0944947
tt6027920,8,6,The Iron Throne,2019,19 May 2019,4.1,245362,tt0944947
tt4593118,1,1,Chapter One: The Vanishing of Will Byers,2016,15 Jul. 2016,8.5,24388,tt4574334
tt4593122,1,2,Chapter Two: The Weirdo on Maple Street,2016,15 Jul. 2016,8.4,21680,tt4574334
tt4593126,1,3,"Chapter Three: Holly, Jolly",2016,15 Jul. 2016,8.8,21527,tt4574334
tt4593124,1,4,Chapter Four: The Body,2016,15 Jul. 2016,8.9,21120,tt4574334
tt4593128,1,5,Chapter Five: The Flea and the Acrobat,2016,15 Jul. 2016,8.7,20011,tt4574334
tt4593132,1,6,Chapter Six: The Monster,2016,15 Jul. 2016,8.8,19874,tt4574334
tt4593134,1,7,Chapter Seven: The Bathtub,2016,15 Jul. 2016,9.0,20733,tt4574334
tt4593138,1,8,Chapter Eight: The Upside Down,2016,15 Jul. 2016,9.3,24461,tt4574334
tt6020684,2,1,Chapter One: MADMAX,2017,27 Oct. 2017,8.2,19232,tt4574334
tt6020792,2,2,"Chapter Two: Trick or Treat, Freak",2017,27 Oct. 2017,8.3,17943,tt4574334
tt6020796,2,3,Chapter Three: The Pollywog,2017,27 Oct. 2017,8.5,17580,tt4574334
tt6020802,2,4,Chapter Four: Will the Wise,2017,27 Oct. 2017,8.6,17352,tt4574334
